CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,400","4,654.85","5,861.50","2,400","25,300.00",100,0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","4,562.45","5,751.25","2,400","25,400.00",100,0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","4,502.35","5,641.00","2,400","25,500.00",100,0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","4,412.10","5,530.75","2,400","25,600.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","4,303.80","5,420.50","2,400","25,700.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","4,230.45","5,309.10","2,400","25,800.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","4,124.55","5,200.00","2,400","25,900.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","4,033.25","5,089.65","2,400","26,000.00",50,1.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","3,911.15","4,979.50","2,400","26,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,820.95","4,869.25","2,400","26,200.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,762.10","4,759.00","2,400","26,300.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,666.35","4,648.75","2,400","26,400.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,581.20","4,538.40","2,400","26,500.00",25,1.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","3,510.10","4,428.15","2,400","26,600.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,422.70","4,318.00","2,400","26,700.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,310.80","4,207.65","2,400","26,800.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,219.40","4,096.00","2,400","26,900.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","3,120.60","3,987.25","2,400","27,000.00",25,55.00,97.00,500,-80.05,99.95,39.96,22,22,23,
,-,-,-,-,-,-,"2,400","3,024.65","4,086.55","2,400","27,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,962.10","3,976.30","2,400","27,200.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,843.35","3,866.05","2,400","27,300.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,674.75","3,755.80","2,400","27,400.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,587.85","3,645.55","2,400","27,500.00",25,1.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","2,494.00","3,536.95","2,400","27,600.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,407.35","3,425.05","2,400","27,700.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,313.40","3,314.80","2,400","27,800.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,254.25","3,204.55","2,400","27,900.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","2,136.50","3,173.85","2,400","28,000.00",100,94.50,323.55,50,-,-,-,-,-,-,
,1,-,-,-,"2,010.00",-,"2,400","2,072.60","3,063.60","2,400","28,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"2,400","1,956.00","2,954.30","2,400","28,200.00",-,-,704.25,"2,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","1,865.85","2,843.95","2,400","28,300.00",50,10.00,471.05,"2,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","1,760.70","2,733.70","2,400","28,400.00",-,-,464.15,"2,400",-,-,-,-,-,-,
