CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,875","1,707.75",-,-,"11,850.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,657.55",-,-,"11,900.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,609.25",-,-,"11,950.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,563.55",-,-,"12,000.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,515.75",-,-,"12,050.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,467.75",-,-,"12,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,438.80",-,-,"12,150.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,394.60","2,431.35","4,875","12,200.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,353.55","2,376.85","4,875","12,250.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,298.85","2,322.40","4,875","12,300.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,250.50","2,267.90","4,875","12,350.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,203.10","2,213.45","4,875","12,400.00",75,4.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,169.55","2,159.00","4,875","12,450.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,123.40","2,104.50","4,875","12,500.00",300,4.00,133.35,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,078.25","2,050.05","4,875","12,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,032.00","1,995.60","4,875","12,600.00",-,-,151.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",986.45,"1,941.10","4,875","12,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",936.80,"1,886.65","4,875","12,700.00",-,-,171.55,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",890.00,"1,832.15","4,875","12,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",851.10,"1,777.70","4,875","12,800.00",75,1.00,183.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",804.70,"1,723.25","4,875","12,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",760.95,"1,668.75","4,875","12,900.00",-,-,242.30,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",712.25,"1,614.30","4,875","12,950.00",-,-,473.85,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",668.60,"1,559.85","4,875","13,000.00","3,225",0.10,211.65,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",625.60,"1,505.35","4,875","13,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",586.90,"1,450.90","4,875","13,100.00",75,0.05,258.60,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,396.40","4,875","13,150.00",-,-,658.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,341.95","4,875","13,200.00",150,0.05,658.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,287.50","4,875","13,250.00",-,-,658.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"1,233.00","4,875","13,300.00",-,-,-,-,-,-,-,-,-,-,
