CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,500,"2,081.00",-,-,"26,400.00","1,000",0.50,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"26,500.00","2,000",1.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"27,000.00",25,10.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"27,500.00","2,000",3.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"28,000.00",25,150.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"28,500.00","2,000",6.50,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"28,800.00","2,500",0.50,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"28,900.00","2,000",1.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"29,000.00","2,500",3.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,"2,535.00",25,"29,500.00","1,000",81.00,-,-,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"29,900.00",-,-,-,-,-,-,-,-,-,-,
,11,2,10,21.69,"2,080.00",278.95,25,"2,007.05","2,103.40",25,"30,000.00",250,"1,039.65",-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",301.00,-,-,"30,400.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,100,"1,101.00",-,-,"30,500.00",25,801.00,-,-,-,-,-,-,-,-,
,4,2,2,-,"1,600.00",-216.80,25,"1,292.20","1,592.10",25,"31,000.00",25,951.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,100,701.00,-,-,"31,500.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,300,943.40,-,-,"32,000.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,100,401.00,-,-,"32,500.00",-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,-,-,25,664.00,"1,664.00",25,"32,900.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,"33,000.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,"33,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,100,71.00,-,-,"33,400.00",-,-,-,-,-,-,-,-,-,-,-
