CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,56,-,"10,976.80","7,070.10","2,400","9,201.10","10,899.95","2,400","20,900.00",100,1.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","9,001.10","10,801.10","2,400","21,000.00",25,17.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,901.10","10,690.85","2,400","21,100.00","1,000",0.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,801.10","10,583.95","2,400","21,200.00","1,000",0.85,-,-,-,-,-,-,-,1,
,-,-,-,-,-,-,"2,400","8,701.10","10,472.80","2,400","21,300.00","1,000",0.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,601.10","10,362.60","2,400","21,400.00","1,000",0.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,501.10","10,249.95","2,400","21,500.00","1,000",3.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,401.10","10,142.65","2,400","21,600.00","1,000",0.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,301.10","10,029.20","2,400","21,700.00","1,000",0.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,201.10","9,919.40","2,400","21,800.00","1,000",0.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","8,101.10","9,809.45","2,400","21,900.00","1,000",0.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,25,"8,767.90","8,910.55",50,"22,000.00",25,26.10,29.00,25,-3.40,29.40,45.98,21,-2,403,
,-,-,-,-,-,-,"2,400","7,901.10","9,599.45","2,400","22,100.00","1,000",0.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,801.10","9,489.20","2,400","22,200.00","1,000",0.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,701.10","9,385.05","2,400","22,300.00","1,000",0.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,601.10","9,271.70","2,400","22,400.00","1,225",0.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,501.10","9,161.90","2,400","22,500.00",25,17.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,401.10","9,054.75","2,400","22,600.00","1,000",0.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,301.10","8,940.95","2,400","22,700.00","1,000",0.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,201.10","8,833.40","2,400","22,800.00","1,000",0.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","7,101.10","8,724.50","2,400","22,900.00","1,000",0.75,-,-,-,-,-,-,-,-,
,4,1,2,-,"7,777.00",221.30,75,"7,775.80","7,888.40",25,"23,000.00",25,25.85,33.00,25,0.70,29.95,-,6,1,160,
,-,-,-,-,-,-,"2,400","6,901.10","8,499.35","2,400","23,100.00","1,000",0.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","6,826.30","8,387.80","2,400","23,200.00","1,000",1.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","6,701.10","8,280.00","2,400","23,300.00","1,000",0.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","6,601.10","8,170.65","2,400","23,400.00","1,000",1.05,-,-,-,-,-,-,-,-,
,1,-,-,-,-,-,50,"7,273.25","7,408.90",50,"23,500.00",25,20.50,49.00,25,-,-,-,-,-,16,
,-,-,-,-,-,-,"2,400","6,465.30","7,943.60","2,400","23,600.00","1,000",1.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","6,375.05","7,839.85","2,400","23,700.00","1,000",1.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","6,201.10","7,726.55","2,400","23,800.00","1,000",1.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","6,181.45","7,618.75","2,400","23,900.00","1,000",1.35,-,-,-,-,-,-,-,-,
,8,-,-,-,-,-,50,"6,793.80","6,856.30",50,"24,000.00",25,32.05,43.95,25,-7.25,34.00,-,27,2,308,
,-,-,-,-,-,-,"2,400","5,901.10","7,406.50","2,400","24,100.00","1,000",1.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","5,902.55","7,296.50","2,400","24,200.00","1,000",1.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","5,701.10","7,186.00","2,400","24,300.00","1,000",0.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400","5,744.75","7,075.75","2,400","24,400.00","1,000",0.70,-,-,-,-,-,-,-,-,
,2,-,-,-,-,-,50,"6,296.95","6,406.05",50,"24,500.00","1,000",23.00,44.00,500,-9.40,41.90,-,23,17,23,
