CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,72,-,-,-,-,-,25,"13,170.25","13,327.95",25,"17,500.00",25,5.10,5.90,50,-0.55,5.95,98.43,99,2,328,
,-,-,-,-,-,-,175,"12,810.45","14,122.55","2,400","17,600.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,175,"12,708.95","14,004.00","2,400","17,700.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,375,"12,601.10","13,914.05","2,400","17,800.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,375,"12,508.95","13,791.00","2,400","17,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
,112,-,-,-,-,-,50,"12,655.15","12,736.65",25,"18,000.00",50,2.50,4.85,25,0.80,3.85,-,16,-,125,
,-,-,-,-,-,-,125,"12,307.20","13,604.95","2,400","18,100.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"12,208.20","13,488.80","2,400","18,200.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,175,"12,104.10","13,793.75","2,400","18,300.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"12,003.90","13,291.70","2,400","18,400.00","2,475",0.10,-,-,-,-,-,-,-,-,
,1,-,-,-,-,-,25,"11,988.75","12,565.40",25,"18,500.00",50,3.05,-,-,-,-,-,-,-,6,
,-,-,-,-,-,-,150,"11,802.90","13,079.75","2,400","18,600.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,375,"11,701.55","13,357.25","2,400","18,700.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,375,"11,608.40","12,848.80","2,400","18,800.00","2,475",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,150,"11,489.70","12,750.35","2,400","18,900.00","2,475",0.10,-,-,-,-,-,-,-,-,
