CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,875","2,081.55","2,760.25","4,875","11,250.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","2,036.40","2,707.30","4,875","11,300.00","2,400",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,991.30","2,652.20","4,875","11,350.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,946.15","2,597.70","4,875","11,400.00","2,400",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,901.05","2,541.70","4,875","11,450.00",75,8.25,46.00,75,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,855.90","2,486.75","4,875","11,500.00",75,2.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,810.80","2,432.55","4,875","11,550.00","5,700",0.10,57.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,765.65","2,377.00","4,875","11,600.00","2,700",0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,720.55","2,319.70","4,875","11,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,675.40","2,265.70","4,875","11,700.00","1,500",0.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,630.30","2,208.95","4,875","11,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,585.15","2,156.80","4,875","11,800.00","1,800",0.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,540.05","2,101.30","4,875","11,850.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,494.90","2,045.55","4,875","11,900.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,449.80","1,990.70","4,875","11,950.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,404.65","1,935.90","4,875","12,000.00",75,19.00,120.00,75,-,-,-,-,-,1,
,-,-,-,-,-,-,"4,875","1,359.55","1,880.45","4,875","12,050.00",300,7.05,99.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,314.40","1,825.05","4,875","12,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,269.30","1,770.55","4,875","12,150.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,224.15","1,713.95","4,875","12,200.00",300,3.10,165.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,179.05","1,660.35","4,875","12,250.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,123.65","1,604.30","4,875","12,300.00",300,3.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,078.10","1,550.35","4,875","12,350.00",-,-,233.15,75,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,028.95","1,494.30","4,875","12,400.00",300,2.25,240.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",989.75,"1,439.05","4,875","12,450.00",300,2.10,269.75,75,-,-,-,-,-,-,
,2,-,-,-,-,-,"4,875",943.15,"1,384.65","4,875","12,500.00",75,7.10,245.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",899.35,"1,329.60","4,875","12,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",851.05,"1,273.75","4,875","12,600.00",375,3.10,245.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",807.80,"1,218.40","4,875","12,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",762.65,"1,164.45","4,875","12,700.00","1,050",1.05,245.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",713.10,"1,175.70","4,875","12,750.00",-,-,245.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",671.00,"1,112.65","4,875","12,800.00",75,25.00,200.00,75,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",620.85,"1,049.40","4,875","12,850.00",450,5.10,260.35,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",581.45,996.30,"4,875","12,900.00",300,3.10,400.00,150,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",537.05,939.75,"4,875","12,950.00",150,0.85,260.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",496.00,884.60,"4,875","13,000.00",300,12.10,213.95,150,-,-,-,-,-,3,
,-,-,-,-,-,-,"4,875",374.10,"1,034.65","4,875","13,050.00",-,-,536.10,"4,875",-,-,-,-,-,-,
,3,-,-,-,-,-,75,370.00,981.55,"4,875","13,100.00","1,050",1.55,536.10,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,904.60,"4,875","13,150.00",-,-,621.45,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,050",2.55,885.90,"4,875","13,200.00","1,050",1.55,514.35,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,829.75,"4,875","13,250.00",-,-,621.45,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,050",2.55,774.65,"4,875","13,300.00","1,050",1.55,621.45,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,718.35,"4,875","13,350.00",75,166.00,455.55,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,050",2.55,662.15,"4,875","13,400.00",300,3.00,455.55,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,637.10,"4,875","13,450.00",-,-,455.55,"4,875",-,-,-,-,-,-,
