CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,875","3,055.75","3,710.75","4,875","10,150.00","8,550",0.10,3.00,"3,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","3,010.60","3,657.50","4,875","10,200.00","3,000",0.60,3.00,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,965.50","3,598.45","4,875","10,250.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,920.35","3,546.55","4,875","10,300.00","3,600",0.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,875.25","3,489.40","4,875","10,350.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,830.10","3,434.90","4,875","10,400.00","3,600",0.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,785.00","3,380.10","4,875","10,450.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,739.85","3,325.70","4,875","10,500.00","2,400",0.50,-,-,-,-,-,-,-,1,
,-,-,-,-,-,-,"4,875","2,694.75","3,269.25","4,875","10,550.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,649.60","3,212.30","4,875","10,600.00","1,500",0.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,604.50","3,158.80","4,875","10,650.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,559.35","3,102.30","4,875","10,700.00","1,500",0.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,514.25","3,047.35","4,875","10,750.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,469.10","2,994.45","4,875","10,800.00","2,400",0.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,424.00","2,939.65","4,875","10,850.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,378.85","2,881.35","4,875","10,900.00","2,400",0.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,368.85","2,828.80","4,875","10,950.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,"2,515.50","2,617.60",300,"11,000.00",75,1.45,2.10,225,0.25,2.00,53.10,20,9,50,
,-,-,-,-,-,-,"4,875","2,277.70","2,717.35","4,875","11,050.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,231.85","2,664.95","4,875","11,100.00","1,500",1.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,185.95","2,605.55","4,875","11,150.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,140.10","2,551.95","4,875","11,200.00","1,500",0.60,-,-,-,-,-,-,-,4,
,-,-,-,-,-,-,"4,875","2,094.20","2,496.95","4,875","11,250.00","3,750",0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,048.55","2,441.70","4,875","11,300.00","2,400",0.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","2,003.85","2,390.00","4,875","11,350.00","3,750",0.10,-,-,-,-,-,-,-,-,
