CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,875","1,726.25","2,269.05","4,875","11,650.00",75,0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,677.70","2,214.10","4,875","11,700.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,636.65","2,161.05","4,875","11,750.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,590.85","2,105.90","4,875","11,800.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,546.40","2,088.95","4,875","11,850.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,500.60","2,000.05","4,875","11,900.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,452.05","1,983.45","4,875","11,950.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,412.00","1,888.45","4,875","12,000.00",75,2.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875","1,366.90","1,884.55","4,875","12,050.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,320.80","1,799.55","4,875","12,100.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,275.00","1,796.05","4,875","12,150.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,226.45","1,700.10","4,875","12,200.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,181.30","1,697.85","4,875","12,250.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,110.10","1,597.80","4,875","12,300.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,077.55","1,597.95","4,875","12,350.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875","1,032.45","1,526.40","4,875","12,400.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",982.95,"1,491.50","4,875","12,450.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875",937.90,"1,394.60","4,875","12,500.00",-,-,156.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",891.60,"1,497.60","4,875","12,550.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875",855.75,"1,391.50","4,875","12,600.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875",806.80,"1,432.45","4,875","12,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",764.90,"1,279.70","4,875","12,700.00",75,50.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",714.60,"1,322.00","4,875","12,750.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,"4,875",666.00,"1,242.15","4,875","12,800.00",75,25.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",629.50,"1,187.35","4,875","12,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",586.75,"1,079.80","4,875","12,900.00",-,-,276.55,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,"4,875",489.55,"1,056.55","4,875","12,950.00",-,-,306.85,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,951.80,"4,875","13,000.00",750,1.20,259.10,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,990.40,"4,875","13,050.00",-,-,348.75,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,884.20,"4,875","13,100.00",-,-,298.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,918.60,"4,875","13,150.00",-,-,385.25,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,810.00,"4,875","13,200.00",-,-,334.70,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,865.15,"4,875","13,250.00",-,-,427.50,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,751.45,"4,875","13,300.00",-,-,370.10,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,733.90,"4,875","13,350.00",-,-,406.15,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,677.05,"4,875","13,400.00",-,-,406.15,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,660.30,"4,875","13,450.00",-,-,443.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,604.20,"4,875","13,500.00",75,0.20,443.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,827.80,"4,875","13,550.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,573.45,"4,875","13,600.00",75,19.00,576.20,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,729.10,"4,875","13,650.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,75,0.10,467.00,"4,875","13,700.00",-,-,635.15,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,616.75,"4,875","13,750.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,419.35,"4,875","13,800.00",-,-,693.80,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"13,850.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,75,0.05,368.85,"4,875","13,900.00",-,-,754.55,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"13,950.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,21.10,328.00,"4,875","14,000.00",-,-,808.30,"4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"14,050.00",-,-,"1,051.25","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,460.75,"4,875","14,100.00",-,-,"1,051.00","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,403.10,"4,875","14,150.00","4,875",472.25,"1,051.30","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,403.00,"4,875","14,200.00","4,875",517.40,"1,106.10","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,403.10,"4,875","14,250.00","4,875",575.80,"1,161.40","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"14,300.00","4,875",622.05,"1,216.60","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"14,350.00","4,875",667.45,"1,271.80","4,875",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"14,400.00","4,875",688.60,"1,326.95","4,875",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"14,450.00","4,875",755.45,"1,382.05","4,875",-,-,-,-,-,-,
,-,-,-,-,-,-,900,11.10,180.30,"4,875","14,500.00","4,875",771.65,"1,203.95","4,875",-,-,-,-,-,-,
